Revenue,Margin,Orders,Units,Recency
1528,530.0,1,1,1006
549,30.0,1,1,571
1641,715.0,1,1,584
10898,4627.0,2,8,572
5587,2327.0,1,4,565
1021,457.0,1,1,563
962,7.0,1,1,522
2397,656.0,1,3,516
1819,383.0,1,1,564
700,13.0,1,1,552
19477,6968.0,1,21,574
1488,586.0,1,1,988
74895,27385.0,2,51,568
3518,0.0,1,3,509
6730,0.0,1,6,504
2649,742.0,1,2,516
26230,5777.0,1,30,595
572,32.0,1,1,522
7407,1968.0,1,10,536
1780,423.0,1,1,538
1611,571.0,1,2,536
670,78.0,1,1,522
1649,520.0,2,2,1599
2682,844.0,2,2,534
852,228.0,1,1,524
1664,0.0,1,1,510
6056,1015.0,1,7,521
2023,430.0,1,1,553
2127,362.0,1,1,542
13518,1299.0,2,30,553
1955,678.0,1,2,538
1912,483.0,1,1,527
1160,173.0,1,1,565
66571,7456.0,29,70,4717
2383,472.0,1,2,533
687,14.0,1,1,509
1182,217.0,1,1,517
2023,430.0,1,1,559
519,127.0,1,1,518
458,4.0,1,1,585
1446,523.0,1,1,553
6336,1328.0,1,3,571
636,76.0,1,1,534
533,25.0,1,1,591
1553,132.0,1,3,987
5150,2376.0,1,3,572
562,0.0,1,1,505
699,60.0,1,1,571
1158,516.0,1,1,516
1068,274.0,1,1,584
2796,409.0,3,4,526
1507,432.0,1,1,580
2807,439.0,1,1,545
1552,189.0,1,1,508
15814,5811.0,1,9,524
3167,945.0,3,3,2618
6687,2982.0,3,4,538
1306,315.0,1,1,528
5178,2026.0,1,6,587
4113,2022.0,1,2,535
1458,667.0,1,1,588
3455,1431.0,1,2,584
1819,788.0,1,1,571
2522,411.0,1,6,564
8916,4400.0,2,8,527
1668,326.0,1,1,595
33983,9188.0,12,21,2935
1781,0.0,1,1,514
501,27.0,1,1,572
4544,658.0,1,11,537
2409,0.0,1,1,544
4775,1123.0,1,3,543
935,312.0,1,1,521
1234,485.0,1,1,521
1774,778.0,2,2,530
1804,536.0,2,2,537
1536,702.0,1,1,516
1831,332.0,1,1,994
991,295.0,1,1,535
1501,691.0,1,1,551
1365,213.0,1,1,519
3129,1374.0,2,2,566
4786,2059.0,2,3,548
1365,453.0,1,1,534
2573,501.0,1,1,542
1499,577.0,1,1,524
1721,554.0,1,2,581
779,88.0,1,1,534
30597,8510.0,4,17,2752
1377,389.0,1,1,585
664,71.0,1,1,522
2023,430.0,1,1,557
1432,634.0,1,1,559
1173,94.0,1,1,509
1117,372.0,1,2,562
8508,1449.0,1,4,533
599,63.0,1,1,525
2931,794.0,2,2,521
25129,4896.0,2,50,542
6458,1899.0,5,5,3107
1394,124.0,1,1,506
2958,829.0,2,2,573
1457,294.0,1,1,587
4904,1479.0,1,6,522
2552,1012.0,2,2,567
456,51.0,1,1,517
1863,732.0,1,1,582
2617,175.0,1,2,520
1271,453.0,1,1,549
3887,868.0,1,6,517
2102,738.0,1,1,1014
2478,797.0,1,1,987
6911,324.0,6,10,1095
990,45.0,1,1,517
5312,2566.0,1,4,572
506,94.0,1,1,529
2249,484.0,1,1,554
807,125.0,1,1,530
1979,89.0,1,2,521
978,310.0,1,1,545
3253,604.0,2,2,534
990,45.0,1,1,523
1831,330.0,1,1,992
1961,841.0,1,1,543
597,92.0,1,1,595
1650,516.0,1,1,539
1358,593.0,1,1,516
1163,40.0,1,2,579
1445,550.0,1,1,536
390,20.0,1,1,529
639,27.0,1,1,510
3600,861.0,1,2,539
1667,0.0,1,1,510
94214,25449.0,14,76,4702
573,35.0,1,1,582
700,275.0,1,1,525
1719,212.0,1,1,543
1709,795.0,1,1,511
1064,99.0,1,1,510
3589,1203.0,1,4,522
1893,424.0,1,1,561
879,162.0,1,1,522
1797,553.0,1,3,528
1397,582.0,1,1,564
1823,570.0,1,1,1044
2787,444.0,2,3,508
1617,566.0,1,1,541
1064,99.0,1,1,512
1204,203.0,1,1,550
2001,0.0,1,2,504
1073,393.0,1,1,543
2824,224.0,2,2,535
640,59.0,1,1,588
2529,610.0,1,3,515
547,106.0,1,1,539
710,146.0,1,1,1013
599,43.0,1,1,543
2535,0.0,1,1,513
778,0.0,1,1,508
1170,274.0,1,1,577
1018,72.0,1,1,514
2848,918.0,1,2,546
2564,550.0,1,1,582
958,241.0,1,1,525
1367,444.0,1,1,540
646,229.0,1,1,514
3096,473.0,1,3,990
465,55.0,1,1,579
4493,132.0,2,3,521
919,0.0,1,1,507
1517,310.0,1,1,537
2127,362.0,1,1,538
5010,1048.0,1,3,524
1464,538.0,1,1,549
2872,1392.0,1,1,531
8395,973.0,1,10,525
4765,1210.0,1,4,584
71754,20975.0,9,44,3119
1899,646.0,1,1,545
1953,858.0,1,1,564
2012,833.0,1,1,577
1929,402.0,1,3,537
1625,615.0,1,1,518
2639,676.0,1,2,508
19454,8366.0,4,12,557
1206,264.0,1,1,528
863,145.0,1,1,509
1167,54.0,1,2,558
1954,485.0,1,1,990
883,258.0,1,1,529
1064,99.0,1,1,513
1415,70.0,1,1,525
1776,513.0,1,1,532
926,213.0,1,1,584
1699,183.0,1,1,559
1082,415.0,1,1,572
2239,317.0,1,1,535
2159,773.0,1,1,525
1983,530.0,1,1,554
3131,615.0,5,5,3205
891,54.0,1,1,511
939,100.0,1,1,585
830,0.0,1,1,522
506,26.0,1,1,517
763,0.0,1,1,518
1162,305.0,1,1,542
2536,70.0,2,3,579
2127,362.0,1,1,532
1466,594.0,1,1,515
3381,1008.0,1,6,565
47744,15707.0,2,13,1899
1642,740.0,1,1,559
1254,0.0,1,2,504
8544,3973.0,1,5,523
1788,525.0,1,1,522
625,24.0,1,1,507
1655,359.0,2,2,595
947,156.0,1,1,526
800,132.0,1,1,525
1676,776.0,1,1,571
990,45.0,1,1,517
2650,801.0,1,2,984
1319,302.0,1,1,992
7296,157.0,1,10,578
8612,1559.0,8,12,533
1824,0.0,1,3,504
5034,1615.0,2,5,528
11941,4404.0,2,9,525
2081,0.0,1,1,507
1841,268.0,1,3,546
2099,773.0,1,2,524
1819,312.0,1,1,529
1001,151.0,1,1,510
21598,959.0,1,29,997
425,69.0,1,1,544
759,160.0,1,1,534
2352,545.0,1,1,582
6041,1920.0,1,6,538
1475,34.0,1,1,525
7241,2515.0,2,6,565
929,222.0,1,1,506
678,0.0,1,1,504
4238,570.0,2,4,538
1646,772.0,1,1,588
3613,985.0,2,2,1023
964,0.0,1,1,506
3164,988.0,2,4,533
510,54.0,1,2,516
933,125.0,1,4,531
2623,649.0,2,2,534
1985,614.0,1,1,527
449,45.0,1,1,584
2251,1020.0,1,1,578
1481,177.0,1,1,566
10690,922.0,3,17,526
44262,10750.0,17,22,4710
1426,313.0,2,2,580
23688,9560.0,1,29,571
911,387.0,1,1,571
701,287.0,1,1,543
1824,370.0,1,4,590
844,336.0,1,1,595
1985,614.0,1,1,534
367,33.0,1,1,515
955,41.0,1,1,530
1695,543.0,1,1,584
22040,1982.0,2,12,986
1269,446.0,1,1,532
649,204.0,1,1,587
13904,8892.0,1,4,542
1591,600.0,1,1,564
1120,307.0,1,1,530
1104,49.0,1,1,587
1667,201.0,1,1,519
2499,700.0,1,3,595
1244,320.0,1,1,571
877,0.0,1,1,504
128268,13913.0,8,98,3272
1899,646.0,1,1,545
10674,3272.0,1,6,567
2879,976.0,1,2,585
1915,300.0,1,1,517
1381,254.0,1,2,514
5671,0.0,2,12,506
1623,592.0,2,2,557
1635,383.0,1,1,531
898,197.0,1,1,565
732,0.0,1,1,531
15560,3192.0,2,24,1041
5982,1946.0,4,9,557
1549,22.0,1,4,565
1705,189.0,1,2,572
4034,865.0,1,4,579
705,93.0,1,1,524
1228,575.0,1,1,573
3848,1061.0,1,5,508
1940,963.0,1,1,572
2028,847.0,1,1,567
1073,393.0,1,1,538
61608,13705.0,6,61,2981
1288,592.0,1,1,539
3134,1505.0,2,2,583
929,360.0,1,1,563
13057,788.0,12,24,557
5744,2076.0,1,5,544
990,45.0,1,1,517
7829,3002.0,2,2,532
2121,751.0,1,1,518
1197,490.0,1,1,553
901,346.0,1,1,542
2921,817.0,2,2,1540
1991,737.0,1,2,592
707,5.0,1,2,539
1495,624.0,1,1,592
16186,6275.0,2,21,548
1029,68.0,1,1,510
3267,458.0,2,3,546
2967,88.0,1,2,566
452,63.0,1,1,517
664,203.0,1,1,556
4998,657.0,1,7,532
167179,47745.0,37,140,4685
8991,2421.0,4,7,1061
572,69.0,1,1,535
3747,380.0,1,3,510
11157,2814.0,1,15,524
2504,455.0,1,6,524
6991,1354.0,5,9,558
697,55.0,1,1,506
1144,450.0,1,1,536
1652,841.0,1,1,528
1509,550.0,1,1,567
507,12.0,1,1,1050
73648,11022.0,6,68,3923
2812,1123.0,3,3,1885
2023,430.0,1,1,545
3290,1002.0,1,3,521
2223,103.0,1,4,567
529,10.0,1,1,538
4044,1929.0,1,3,578
723,62.0,1,1,533
2110,336.0,1,1,508
1635,734.0,1,1,551
1419,117.0,1,1,535
2760,335.0,1,4,558
1822,694.0,1,1,1017
949,138.0,1,1,546
1116,179.0,1,1,511
2748,696.0,1,3,510
1209,61.0,1,1,524
2697,201.0,2,3,585
3884,866.0,1,10,517
1800,550.0,1,3,517
1725,470.0,1,1,570
3339,1429.0,2,2,579
1698,179.0,1,2,536
2518,513.0,1,2,966
2294,554.0,1,3,505
2299,610.0,2,3,537
478,35.0,1,1,586
9126,713.0,3,17,549
18579,0.0,1,20,509
1996,0.0,1,1,507
625,24.0,1,1,514
955,198.0,1,2,521
1209,61.0,1,1,515
1419,0.0,1,1,504
23616,4522.0,13,22,4171
1367,444.0,1,1,539
2125,904.0,1,1,531
1193,75.0,1,1,518
1157,221.0,2,2,583
2387,630.0,1,2,528
1359,445.0,1,1,532
5192,1935.0,1,2,565
1839,0.0,1,1,519
1553,226.0,1,2,553
1856,460.0,1,1,559
61250,14304.0,8,40,4717
1884,913.0,1,1,577
1726,554.0,1,1,588
1441,0.0,1,1,543
1936,814.0,1,1,522
3386,475.0,1,4,543
1238,464.0,1,1,548
2073,980.0,1,1,591
2747,55.0,2,4,510
52004,9521.0,4,19,526
5200,804.0,1,10,537
6729,2021.0,1,4,1000
2300,326.0,1,2,574
1453,528.0,1,1,560
447,57.0,1,1,549
2526,1274.0,1,1,578
598,5.0,1,1,511
1476,330.0,1,1,519
1176,403.0,1,1,522
1788,841.0,1,1,567
4433,1170.0,1,2,570
987,197.0,1,1,565
78903,19150.0,17,66,2189
4760,1891.0,1,3,572
2909,414.0,1,1,525
763,90.0,1,1,523
1985,614.0,1,1,528
7542,1902.0,6,6,532
13721,1682.0,6,12,505
524,1.0,1,1,557
7537,1773.0,1,13,529
1584,152.0,1,1,561
1949,233.0,2,4,548
4928,485.0,2,4,1556
4214,521.0,1,5,572
1419,474.0,1,1,529
985,333.0,1,1,584
5415,207.0,2,4,534
2496,140.0,2,3,553
1633,473.0,1,2,543
7823,2811.0,2,4,549
3262,1320.0,2,2,589
540,114.0,1,1,511
1240,303.0,1,1,524
1818,391.0,2,2,1892
3571,75.0,2,5,554
768,278.0,1,1,529
899,0.0,1,1,508
2884,602.0,1,3,536
1063,335.0,1,1,543
1550,569.0,1,1,558
1367,453.0,1,1,530
1528,343.0,1,2,556
1637,0.0,1,1,518
611,69.0,1,1,522
11352,2478.0,2,4,1953
6793,747.0,1,11,514
3951,1037.0,3,4,549
1385,547.0,1,1,559
1567,0.0,1,1,537
594,42.0,1,1,547
1988,803.0,1,1,523
1330,111.0,1,1,513
37003,14833.0,4,20,576
1419,117.0,1,1,545
515,5.0,1,1,509
36072,12439.0,3,32,2614
3263,478.0,4,5,1932
2251,0.0,1,1,587
5628,1886.0,2,4,1074
1229,93.0,1,1,534
1929,785.0,1,1,566
1981,610.0,1,1,516
9638,6479.0,1,5,516
1449,0.0,1,1,506
429,116.0,1,1,508
1400,49.0,1,2,531
3138,62.0,1,5,525
534,59.0,1,1,971
1514,81.0,1,2,593
5885,2268.0,2,5,586
2727,777.0,1,4,593
1499,343.0,1,1,546
1310,472.0,1,1,531
1539,533.0,1,2,546
1699,370.0,1,1,537
699,319.0,1,1,507
1367,444.0,1,1,544
1567,429.0,1,1,514
10989,3278.0,2,7,1899
978,339.0,1,1,544
2012,759.0,1,1,556
1793,417.0,1,2,536
650,0.0,1,1,507
757,5.0,1,1,518
8682,226.0,2,7,531
1544,220.0,1,1,551
836,155.0,1,2,507
525,24.0,1,1,557
1776,513.0,1,1,542
2440,16.0,1,5,1047
1890,327.0,1,1,532
1291,332.0,1,1,585
15559,744.0,2,19,516
4146,1472.0,2,3,549
3016,1306.0,2,2,539
676,94.0,1,1,522
332,78.0,1,1,528
2026,316.0,2,3,569
1326,275.0,1,1,511
2751,587.0,1,1,539
26627,4092.0,25,35,4645
2819,807.0,2,2,547
4649,1628.0,1,2,579
2807,439.0,1,1,542
5499,262.0,1,2,522
571,32.0,1,1,525
2233,1071.0,1,1,521
3212,647.0,2,2,579
1627,95.0,2,2,546
274,6.0,1,1,535
1528,434.0,1,1,531
2450,435.0,2,2,998
1650,516.0,1,1,545
1413,92.0,1,1,511
1961,42.0,2,3,516
2362,555.0,1,1,581
21334,7518.0,1,21,565
1329,403.0,1,1,532
759,160.0,1,1,543
849,90.0,1,1,585
3726,133.0,2,4,544
1815,774.0,1,1,571
1011,229.0,1,1,1013
2331,34.0,1,2,529
741,125.0,1,1,542
1431,301.0,1,3,560
982,326.0,1,1,524
1395,0.0,1,1,514
669,159.0,1,1,514
1701,0.0,1,1,514
5694,2952.0,1,3,512
1528,286.0,1,1,517
400,88.0,1,1,594
240,37.0,1,1,985
632,0.0,1,1,507
2959,1217.0,1,2,551
3290,324.0,1,3,550
4799,937.0,2,3,522
1627,492.0,1,1,552
1421,142.0,1,2,511
2211,248.0,1,1,520
649,204.0,1,1,585
918,72.0,1,1,514
470,62.0,1,1,577
1547,46.0,1,2,1024
1650,516.0,1,1,536
1985,609.0,1,1,543
1390,223.0,1,1,585
558,46.0,1,1,595
929,243.0,1,1,560
5860,1199.0,1,2,587
1350,312.0,1,1,594
1494,375.0,1,1,531
8769,1447.0,5,13,548
4793,1435.0,1,1,529
11578,3797.0,4,7,2326
2303,1152.0,1,1,585
2569,247.0,3,4,565
2913,560.0,2,2,552
5681,1576.0,2,3,556
699,216.0,1,1,514
1816,663.0,1,1,524
1130,226.0,1,1,515
1682,120.0,1,3,517
6145,689.0,3,5,516
1757,509.0,1,1,541
2391,754.0,1,1,1043
1442,366.0,1,1,1019
2070,551.0,1,3,580
2249,78.0,1,3,594
1193,86.0,1,2,514
2996,533.0,2,3,510
2152,688.0,1,1,559
11890,3667.0,1,8,549
598,59.0,1,1,580
1124,460.0,1,1,536
10464,601.0,1,14,514
1727,802.0,1,1,586
89537,25976.0,8,64,3965
638,232.0,1,1,564
9326,2496.0,5,9,529
1491,406.0,1,1,547
18093,11240.0,1,5,521
1228,0.0,1,1,504
1532,461.0,1,1,529
3136,693.0,1,5,551
2621,250.0,1,4,521
3332,883.0,1,4,557
2484,708.0,1,1,549
28889,1653.0,2,43,978
2015,530.0,1,2,520
2879,1161.0,1,2,556
2697,793.0,1,4,556
1252,497.0,1,1,569
1455,345.0,1,2,531
3491,136.0,1,2,517
7494,2444.0,5,6,578
749,248.0,1,1,515
712,134.0,1,1,548
3987,1149.0,1,7,529
3168,691.0,1,2,978
1790,131.0,1,1,525
3040,328.0,1,8,524
599,184.0,1,1,533
752,328.0,1,1,572
442,39.0,1,1,594
1488,616.0,1,1,529
1737,243.0,1,1,551
1439,161.0,2,3,526
1825,0.0,1,1,510
582,116.0,1,1,509
18534,2703.0,8,21,3712
583,86.0,1,1,520
18734,6648.0,2,18,546
849,90.0,1,1,536
2087,762.0,1,1,577
1176,0.0,1,1,510
575,190.0,1,1,536
1526,180.0,1,2,525
2700,9.0,1,12,580
3058,1085.0,3,3,578
3610,1360.0,1,4,535
440491,101681.0,57,452,4732
1196,261.0,1,1,520
1663,0.0,2,2,516
1903,845.0,1,1,589
2718,890.0,1,2,532
2255,0.0,1,1,511
2499,427.0,1,1,511
1220,17.0,1,1,543
913,273.0,1,1,573
2791,292.0,2,6,582
1985,610.0,1,1,540
15664,3294.0,3,15,1572
4156,1601.0,1,4,556
1350,405.0,1,1,525
687,14.0,1,1,511
2939,581.0,2,2,571
2580,953.0,2,2,511
3430,546.0,1,3,506
2884,976.0,1,2,549
4134,0.0,1,4,504
854,181.0,1,1,541
646,0.0,1,1,515
12102,1618.0,9,17,3811
2788,356.0,1,2,513
569,59.0,1,1,546
2502,1143.0,2,2,591
4440,0.0,1,3,517
4971,2253.0,1,4,544
3026,155.0,1,2,526
2240,695.0,1,2,580
2440,11.0,2,3,512
2153,0.0,1,1,537
26830,8119.0,1,19,551
1221,312.0,1,1,977
3355,1564.0,1,2,546
2957,582.0,2,2,590
568,48.0,1,1,558
1525,783.0,1,1,529
2393,1079.0,1,1,585
2473,657.0,1,4,550
647,8.0,1,2,537
2375,327.0,1,1,535
5957,128.0,1,12,508
19139,8241.0,1,15,571
535,0.0,1,1,1002
1206,264.0,1,1,531
6900,837.0,1,10,559
987,331.0,1,1,545
2699,792.0,1,2,545
655,0.0,1,1,510
1899,646.0,1,1,536
865,0.0,1,1,517
523,42.0,1,1,515
1331,317.0,1,1,519
891,54.0,1,1,510
20488,5273.0,11,19,2264
1611,326.0,1,1,997
1607,710.0,1,1,546
1198,0.0,1,2,508
510,168.0,1,1,576
899,67.0,1,1,579
1247,594.0,1,1,581
893,35.0,1,1,506
12294,3109.0,8,13,580
1360,291.0,1,1,521
3948,0.0,1,2,509
2110,336.0,1,1,510
2561,0.0,1,1,962
860,0.0,1,1,505
690,84.0,1,1,559
1418,516.0,1,1,552
1179,366.0,1,1,535
1229,93.0,1,1,535
1688,484.0,1,1,559
1577,421.0,1,1,546
248,0.0,1,1,504
454,108.0,1,1,537
3695,712.0,3,5,585
875,124.0,1,1,1032
8400,2462.0,1,30,578
1120,202.0,1,2,586
2456,115.0,1,4,585
2304,985.0,1,1,532
380,41.0,1,1,532
1298,407.0,1,2,574
810,287.0,1,1,577
1858,751.0,1,2,521
686,273.0,1,1,514
961,217.0,1,1,591
4083,412.0,2,6,1802
3672,979.0,2,4,584
1880,0.0,1,1,509
1557,505.0,1,1,560
2028,195.0,2,3,560
4092,1834.0,2,3,548
970,146.0,1,1,538
2995,922.0,1,5,524
870,21.0,1,1,549
4818,1817.0,3,4,565
7039,1894.0,1,31,584
934,143.0,1,1,1049
6818,583.0,3,5,547
600,51.0,1,1,536
1228,76.0,1,1,514
759,160.0,1,1,535
2058,1106.0,1,1,565
18995,1743.0,1,20,515
701,154.0,1,2,544
1591,419.0,1,1,545
9044,3306.0,1,6,551
2628,0.0,1,1,509
2192,693.0,1,1,1013
1446,523.0,1,1,558
2989,889.0,1,2,531
1330,462.0,1,1,543
1396,83.0,1,1,511
1733,0.0,1,1,574
1427,0.0,1,1,516
593,30.0,1,1,572
1351,129.0,1,1,593
878,131.0,1,1,543
1359,445.0,1,1,532
1919,558.0,1,1,986
7590,1598.0,5,10,531
1469,23.0,2,2,553
615,24.0,1,1,533
1678,558.0,1,1,588
3184,1449.0,1,2,509
5298,2387.0,1,3,521
8726,3323.0,1,10,579
2498,1101.0,1,2,547
1351,169.0,1,1,591
1419,117.0,1,1,536
81799,21493.0,8,56,3557
584,202.0,1,1,530
1494,314.0,1,1,538
1312,370.0,2,2,546
2787,804.0,1,3,527
2240,613.0,1,2,535
950,20.0,1,1,538
572,62.0,1,1,515
873,162.0,1,1,545
614,0.0,1,1,505
1959,99.0,2,2,570
25158,3678.0,12,24,4672
1436,699.0,1,1,570
1787,865.0,1,1,511
1304,108.0,2,3,556
434,76.0,1,1,569
1576,0.0,1,1,504
1064,99.0,1,1,508
1477,445.0,1,1,564
1369,228.0,1,2,539
3840,841.0,2,4,557
3934,730.0,1,7,525
24936,6207.0,6,18,2674
1131,185.0,1,1,524
383,40.0,1,1,540
4869,0.0,2,2,508
990,45.0,1,1,521
8996,2925.0,2,8,522
863,62.0,1,1,511
826,191.0,1,2,536
5184,1066.0,2,5,547
1099,66.0,1,1,548
4720,169.0,2,7,519
1061,142.0,1,1,1004
7950,1902.0,1,1,1026
410,2.0,1,1,543
2804,263.0,1,2,511
21465,7934.0,1,18,550
1052,228.0,1,1,536
20331,5387.0,3,21,585
3149,696.0,1,5,518
1345,165.0,1,1,542
1669,545.0,1,1,528
3404,987.0,2,3,553
11632,3458.0,1,16,573
8161,1181.0,6,7,3773
1645,13.0,2,2,572
3760,1219.0,1,2,532
1613,474.0,1,1,534
3253,0.0,1,1,514
421,10.0,1,1,532
1039,400.0,1,1,553
591,70.0,1,1,540
13250,3346.0,5,7,550
7942,1994.0,1,6,536
1621,760.0,1,1,564
3803,0.0,2,5,965
1334,110.0,1,2,587
1195,57.0,1,1,543
1744,186.0,2,2,533
899,233.0,1,1,515
2471,374.0,1,1,563
1787,861.0,1,1,573
870,21.0,1,1,555
1403,308.0,1,2,561
1923,533.0,2,2,528
15538,9262.0,2,4,572
4189,542.0,2,3,1696
2008,308.0,1,1,538
620,80.0,1,1,521
681,197.0,1,1,578
811,134.0,1,1,531
5457,2007.0,1,3,560
3418,1572.0,1,2,565
1905,534.0,1,1,525
2440,0.0,2,3,507
765,185.0,1,1,522
1419,117.0,1,1,538
1496,364.0,1,1,1029
1166,74.0,1,1,576
649,70.0,1,1,589
1187,153.0,1,1,511
2042,260.0,1,3,558
2957,986.0,1,1,587
1192,128.0,1,2,556
1542,0.0,1,1,514
2914,0.0,1,4,508
1125,456.0,1,1,543
863,17.0,1,1,524
115945,23063.0,12,99,6219
2826,500.0,1,3,525
2432,991.0,2,2,544
854,181.0,1,1,528
1232,0.0,1,1,507
878,319.0,1,1,565
956,42.0,2,2,511
10881,4115.0,1,10,521
14715,1233.0,1,24,517
479,15.0,1,1,556
1397,584.0,1,1,517
5670,854.0,1,30,1012
562,0.0,1,1,523
3325,1474.0,1,2,564
2039,246.0,1,2,593
2095,720.0,1,1,551
849,90.0,1,1,528
3245,1019.0,1,5,593
1619,19.0,2,2,1116
1986,821.0,1,1,528
1433,625.0,1,1,573
1578,655.0,1,1,538
10070,3092.0,2,6,1013
800,210.0,1,1,595
5945,482.0,1,5,528
4529,547.0,2,2,577
875,208.0,1,1,592
1774,828.0,1,1,564
1981,610.0,1,1,520
2620,943.0,1,2,538
828,108.0,1,1,564
940,83.0,1,2,546
1419,474.0,1,1,538
1678,305.0,1,1,1000
5255,1123.0,2,3,530
456,41.0,1,1,559
16336,5158.0,1,10,544
1201,2.0,1,1,548
1744,298.0,2,2,588
2085,432.0,1,2,535
1170,215.0,1,1,595
1548,331.0,1,1,531
4288,1679.0,1,4,524
1198,86.0,1,2,537
112768,36318.0,7,94,2762
690,84.0,1,1,545
681,87.0,1,1,558
1476,330.0,1,1,522
1981,610.0,1,1,522
1663,737.0,1,1,571
12100,5032.0,2,8,532
10077,748.0,2,23,514
1093,391.0,1,1,544
900,32.0,1,1,558
919,179.0,1,1,580
9832,1955.0,6,10,3378
11178,3104.0,1,7,1036
1717,769.0,1,1,515
2557,0.0,1,1,506
12424,5579.0,1,10,535
3494,1641.0,1,2,593
1528,0.0,1,1,523
613,43.0,1,1,564
1182,217.0,1,1,522
686,175.0,1,1,543
1987,846.0,1,1,591
2008,890.0,1,1,579
11051,0.0,1,15,965
549,75.0,1,1,517
3442,899.0,1,6,529
4462,0.0,1,6,504
391,45.0,1,1,587
1329,451.0,1,1,543
1227,528.0,1,1,570
4379,289.0,3,7,539
931,230.0,1,1,510
2160,809.0,1,1,564
434,72.0,1,1,563
2485,867.0,2,2,1607
611,151.0,1,1,557
2295,985.0,1,1,563
1228,76.0,1,1,510
987,331.0,1,1,529
807,120.0,1,1,545
669,217.0,1,1,517
1094,265.0,2,2,548
45655,19921.0,2,22,556
9983,0.0,1,8,514
1600,479.0,1,1,530
1926,458.0,1,2,1036
3095,1281.0,2,3,533
699,98.0,1,1,562
909,0.0,1,2,504
10120,167.0,1,26,517
4596,2505.0,1,3,528
676,75.0,1,1,560
588,32.0,1,1,557
1362,416.0,1,1,541
5049,1217.0,2,2,550
17137,3745.0,9,10,550
5082,362.0,2,8,1902
1637,130.0,1,1,521
2225,0.0,1,1,510
5504,522.0,3,5,535
11447,1350.0,1,15,521
1590,637.0,1,1,549
1601,851.0,1,1,556
2378,193.0,1,2,546
6645,777.0,2,10,562
6978,1824.0,1,4,553
2164,834.0,1,1,571
30203,6851.0,7,22,3209
766,90.0,1,1,522
1352,161.0,1,1,537
2946,0.0,1,1,522
1899,646.0,1,1,545
3110,1314.0,2,2,542
1557,491.0,1,1,551
3430,790.0,1,1,530
1138,166.0,1,1,573
1891,629.0,1,1,557
2132,880.0,1,1,580
8008,243.0,2,11,1775
2666,565.0,3,3,556
7611,1150.0,1,9,564
1698,180.0,1,2,582
689,167.0,1,1,542
1228,76.0,1,1,514
4477,673.0,1,3,538
1395,213.0,1,1,588
1394,124.0,1,1,508
1638,421.0,1,1,554
2593,887.0,1,1,572
4268,1363.0,4,4,1915
5456,1047.0,1,5,549
1362,100.0,1,1,507
1760,594.0,1,2,526
1099,93.0,1,1,535
1171,529.0,1,1,586
1741,545.0,1,1,549
1143,322.0,1,1,508
10628,4438.0,2,2,527
1419,117.0,1,1,532
1597,532.0,1,1,557
1651,528.0,1,1,1002
7202,1845.0,2,3,542
4606,2303.0,1,2,587
2749,131.0,1,1,524
2046,945.0,1,1,573
9795,4349.0,2,8,593
763,90.0,1,1,518
1511,547.0,1,1,551
1424,502.0,1,1,532
1357,552.0,1,1,521
1895,279.0,1,1,579
3228,900.0,1,2,1050
5320,687.0,1,4,567
1355,384.0,1,1,510
1423,229.0,2,2,552
1365,213.0,1,1,523
1990,244.0,1,1,552
2043,1053.0,1,1,571
799,165.0,1,1,567
3660,1533.0,1,2,594
3350,960.0,1,1,516
762,81.0,1,1,546
17996,3613.0,8,15,2470
900,0.0,1,1,970
1554,49.0,2,2,538
1433,486.0,1,1,531
759,160.0,1,1,535
1394,124.0,1,1,514
1677,393.0,1,1,556
2461,709.0,1,2,524
826,129.0,1,1,552
7964,2512.0,4,6,1086
1550,118.0,1,1,523
1833,405.0,1,1,568
1898,655.0,1,1,1001
1221,101.0,2,2,559
466,0.0,1,1,524
3750,735.0,1,15,545
1422,0.0,1,1,515
3011,1021.0,1,2,532
3119,751.0,1,1,538
3375,535.0,1,3,522
5507,1054.0,3,6,525
1746,603.0,1,1,525
279,72.0,1,1,545
5057,186.0,3,8,2148
3887,1214.0,2,3,566
20609,1172.0,2,30,522
2183,0.0,1,1,511
510,13.0,1,1,594
1638,659.0,1,1,577
1358,56.0,1,1,559
918,49.0,1,1,524
5083,515.0,1,20,593
759,168.0,1,1,543
1979,763.0,1,1,535
2192,719.0,2,2,1722
1444,395.0,1,1,546
3474,467.0,1,5,516
1981,610.0,1,1,525
1663,785.0,1,1,565
1766,818.0,1,1,562
3931,850.0,1,4,524
851,124.0,1,1,553
731,172.0,1,1,552
855,28.0,1,1,563
1660,45.0,1,2,587
2909,1039.0,2,2,1791
1706,53.0,2,2,536
2345,571.0,1,1,521
12765,2967.0,2,10,575
860,167.0,1,1,514
11936,2993.0,1,14,579
7946,2893.0,1,5,569
2233,1071.0,1,1,520
800,49.0,1,1,543
625,0.0,1,1,505
1395,46.0,1,1,544
12318,3797.0,8,9,3445
3211,744.0,1,2,530
3302,1425.0,1,3,577
690,84.0,1,1,559
1367,453.0,1,1,528
5860,2309.0,1,2,563
3067,1492.0,1,1,537
1138,46.0,1,1,586
5088,443.0,2,7,511
3198,1313.0,1,3,553
2384,538.0,2,2,552
1715,765.0,1,1,966
1420,605.0,1,1,530
1783,508.0,1,1,555
699,111.0,1,1,573
2718,0.0,1,2,504
