Revenue,Margin,Orders,Units,Recency
1550,552.0,1,1,762
631,22.0,1,1,698
562,99.0,1,1,999
500,33.0,1,1,705
531,48.0,1,1,720
616,48.0,1,1,710
792,59.0,1,2,699
1588,0.0,1,1,689
9315,2054.0,3,7,1285
8638,914.0,3,4,1283
1469,2.0,1,1,711
804,107.0,2,2,1324
5051,648.0,1,6,699
9364,3094.0,6,14,3267
33361,10670.0,21,23,1886
31540,0.0,2,20,1218
549,38.0,1,1,694
1229,130.0,1,1,697
1509,227.0,1,1,705
1910,11.0,1,2,693
1415,84.0,1,1,725
1617,605.0,1,1,768
1347,343.0,1,1,762
3254,185.0,3,6,1263
21569,6086.0,4,13,1987
5451,1707.0,1,5,699
5223,1338.0,2,7,1315
847,139.0,1,1,772
2577,419.0,1,1,699
1328,0.0,1,1,689
2854,165.0,1,5,706
1541,82.0,1,2,760
1442,272.0,2,2,712
637,113.0,1,1,704
332,66.0,1,1,733
695,264.0,1,1,985
716,67.0,1,1,725
4017,1343.0,3,3,1245
52682,11050.0,8,72,1967
10545,535.0,18,24,1921
25422,7995.0,4,32,1381
2391,874.0,2,3,1240
865,150.0,1,1,735
6025,55.0,2,3,716
37826,2706.0,34,86,1926
1271,479.0,1,1,767
7133,457.0,3,17,1622
1520,67.0,1,1,770
757,106.0,1,1,758
22333,5976.0,2,29,1277
2349,499.0,1,2,762
3894,270.0,2,2,1364
7091,776.0,1,12,700
9815,2509.0,4,13,1870
10862,3605.0,3,9,1909
2855,232.0,2,3,1355
1487,197.0,2,2,694
1752,729.0,1,2,1007
2708,751.0,2,2,1228
2261,104.0,1,2,727
4512,1035.0,4,6,1935
1860,0.0,1,2,689
2977,416.0,1,11,749
1581,402.0,1,1,760
1772,655.0,1,1,774
43090,8886.0,3,30,1847
2497,569.0,1,3,748
5745,865.0,1,1,769
39734,3202.0,8,41,3699
10321,3051.0,3,6,1924
2049,466.0,1,1,697
46479,18215.0,2,40,1311
763,77.0,1,1,712
65054,20564.0,12,68,1916
5550,2633.0,1,8,706
14270,3582.0,1,15,700
1491,0.0,1,1,687
2629,816.0,1,4,746
36512,10388.0,8,26,1883
29173,2289.0,2,46,1921
6159,1971.0,1,5,710
700,76.0,1,1,691
6352,2160.0,2,2,707
27175,3662.0,2,35,759
31660,8482.0,19,46,1922
7843,1975.0,4,8,1391
2456,455.0,1,3,717
1840,650.0,1,1,746
2100,377.0,2,2,1205
4230,212.0,2,7,1264
15036,804.0,1,12,983
872,305.0,1,1,747
1589,556.0,1,3,714
340,32.0,1,1,727
817,307.0,1,1,719
2526,435.0,3,3,1271
3078,739.0,1,1,722
3518,0.0,1,3,693
2898,864.0,3,4,1913
801,196.0,1,1,725
1367,433.0,1,1,768
14796,3704.0,7,17,3071
887,149.0,1,1,964
51466,9071.0,3,32,729
836,245.0,1,2,721
4420,1340.0,1,5,753
5999,696.0,3,6,1243
646,137.0,1,1,705
950,72.0,1,3,710
732,123.0,1,1,718
447,6.0,1,1,747
1535,412.0,1,1,746
6887,1919.0,8,9,1870
11245,2992.0,4,7,3286
3645,1621.0,1,4,732
1925,615.0,2,3,1424
1451,407.0,1,2,698
5643,1590.0,10,10,1934
1281,68.0,1,2,759
621,235.0,1,1,769
1939,472.0,3,3,1348
3831,0.0,1,3,690
996,436.0,1,1,760
456,184.0,1,1,713
16744,4435.0,7,14,3498
2126,745.0,2,2,1383
4060,1693.0,4,5,1348
3230,633.0,1,5,760
60954,13966.0,25,99,1918
396,115.0,1,1,709
2002,41.0,2,4,748
5135,1404.0,5,9,1386
1531,396.0,1,2,726
3994,807.0,4,8,1410
2867,94.0,1,6,705
52149,10714.0,3,60,2378
812,181.0,1,1,731
409,0.0,1,1,691
514,67.0,1,1,740
1055,274.0,1,1,746
898,82.0,1,2,706
7115,273.0,3,10,740
19022,7839.0,7,9,1931
28191,5955.0,2,21,698
8917,2264.0,5,6,1384
716,67.0,1,1,698
1619,603.0,1,1,1033
1890,540.0,2,2,1284
566,6.0,1,1,711
1182,502.0,1,1,704
1023,109.0,2,2,725
531,86.0,1,1,692
1066,354.0,1,1,698
2718,351.0,5,5,1870
1849,304.0,2,2,1243
3724,1067.0,1,2,705
999,172.0,1,1,688
69327,18351.0,30,72,4629
3162,194.0,1,11,693
1650,1008.0,1,1,745
10652,2584.0,1,10,724
691,179.0,1,1,708
18907,1815.0,2,50,1319
1449,489.0,1,1,726
3729,455.0,2,3,707
11496,1383.0,4,21,712
5516,2131.0,4,6,1261
3389,1172.0,3,4,719
30212,9384.0,6,15,3497
5857,1713.0,2,7,1258
11154,1471.0,2,11,1352
763,192.0,1,2,768
11176,3364.0,2,8,1235
1720,542.0,2,2,1343
9596,3290.0,4,8,1921
1965,737.0,1,1,740
1520,468.0,1,2,710
1425,327.0,1,2,760
1608,314.0,2,2,1301
2923,335.0,2,4,1812
457,37.0,1,1,766
1519,550.0,1,1,731
724,178.0,1,1,724
1150,345.0,1,1,770
1720,682.0,1,1,768
68842,26168.0,6,86,1881
17739,3326.0,3,24,726
910,328.0,1,1,741
2299,593.0,2,2,713
600,33.0,1,1,712
1665,245.0,1,1,1005
803,41.0,2,2,744
1384,529.0,1,1,714
1819,447.0,1,3,719
14858,6467.0,2,7,1440
1561,583.0,1,1,757
63230,18439.0,6,159,1224
14282,3196.0,4,13,1228
2676,762.0,1,1,744
1518,575.0,1,1,766
3404,487.0,1,2,726
1062,378.0,1,1,1013
19204,1604.0,8,55,2419
4858,1848.0,3,6,1953
