Company Name,Revenue,Margin,Orders,Units,Recency
Customer1016,6359,2447,4,4,2513
Customer10160,805,215,1,1,703
Customer10161,727,49,1,1,732
Customer10162,5058,1379,5,5,1865
Customer10163,896,59,1,2,693
Customer10164,4246,1397,4,5,1385
Customer10165,873,243,1,1,728
Customer10166,5684,589,1,5,770
Customer10167,1006,231,1,1,727
Customer10168,7182,1709,2,6,1303
Customer10169,12106,3607,3,12,1938
Customer1017,1844,718,1,1,977
Customer10170,1570,431,1,1,723
Customer10171,18279,2320,9,16,1938
Customer10172,13867,3833,6,10,719
Customer10173,27987,10853,10,19,1937
Customer10174,2514,686,2,2,1388
Customer10175,1183,0,1,1,691
Customer10176,610,0,1,1,689
Customer10177,3930,0,1,1,690
Customer10178,10961,3620,1,5,740
Customer10179,2409,432,1,1,693
Customer1018,2209,771,1,3,1013
Customer10180,674,0,1,1,692
Customer10181,15553,2154,1,29,740
Customer10182,2389,932,1,2,739
Customer10183,3900,0,1,6,689
Customer10184,1534,283,2,3,710
Customer10185,3119,533,2,3,731
Customer10186,1950,672,1,2,712
Customer10187,3483,1507,1,3,754
Customer10188,1045,272,1,1,765
Customer10189,571,5,1,1,707
Customer1019,2342,771,1,1,1032
Customer10190,149597,43050,7,93,1919
Customer10191,9094,2921,1,11,754
Customer10192,823,102,1,1,700
Customer10193,553,52,1,1,698
Customer10194,1205,352,1,1,703
Customer10195,1066,196,2,2,1259
Customer10196,1760,0,1,1,688
Customer10197,1465,54,1,1,698
Customer10198,3761,1040,3,7,1990
Customer10199,913,111,2,2,707
Customer102,154884,53051,18,120,4076
Customer1020,1189,521,1,1,1028
Customer10200,1858,428,1,2,719
Customer10201,2583,1139,1,2,754
Customer10202,1096,383,1,1,713
Customer10203,4761,542,2,6,1350
Customer10204,529,78,1,1,731
Customer10205,8830,666,2,11,734
Customer10206,6266,2516,2,2,719
Customer10207,6965,276,4,5,2823
Customer10208,1550,552,1,1,762
Customer10209,631,22,1,1,698
Customer1021,562,99,1,1,999
Customer10210,500,33,1,1,705
Customer10211,531,48,1,1,720
Customer10212,616,48,1,1,710
Customer10213,792,59,1,2,699
Customer10214,1588,0,1,1,689
Customer10215,9315,2054,3,7,1285
Customer10216,8638,914,3,4,1283
Customer10217,1469,2,1,1,711
Customer10218,804,107,2,2,1324
Customer10219,5051,648,1,6,699
Customer1022,9364,3094,6,14,3267
Customer10220,33361,10670,21,23,1886
Customer10221,31540,0,2,20,1218
Customer10222,549,38,1,1,694
Customer10223,1229,130,1,1,697
Customer10224,1509,227,1,1,705
Customer10225,1910,11,1,2,693
Customer10226,1415,84,1,1,725
Customer10227,1617,605,1,1,768
Customer10228,1347,343,1,1,762
Customer10229,3254,185,3,6,1263
Customer1023,21569,6086,4,13,1987
Customer10230,5451,1707,1,5,699
Customer10231,5223,1338,2,7,1315
Customer10232,847,139,1,1,772
Customer10233,2577,419,1,1,699
Customer10234,1328,0,1,1,689
Customer10235,2854,165,1,5,706
Customer10236,1541,82,1,2,760
Customer10237,1442,272,2,2,712
Customer10238,637,113,1,1,704
Customer10239,332,66,1,1,733
Customer1024,695,264,1,1,985
Customer10240,716,67,1,1,725
Customer10241,4017,1343,3,3,1245
Customer10242,52682,11050,8,72,1967
Customer10243,10545,535,18,24,1921
Customer10244,25422,7995,4,32,1381
Customer10245,2391,874,2,3,1240
Customer10246,865,150,1,1,735
Customer10247,6025,55,2,3,716
Customer10248,37826,2706,34,86,1926
Customer10249,1271,479,1,1,767
Customer1025,7133,457,3,17,1622
Customer10250,1520,67,1,1,770
Customer10251,757,106,1,1,758
Customer10252,22333,5976,2,29,1277
Customer10253,2349,499,1,2,762
Customer10254,3894,270,2,2,1364
Customer10255,7091,776,1,12,700
Customer10256,9815,2509,4,13,1870
Customer10257,10862,3605,3,9,1909
Customer10258,2855,232,2,3,1355
Customer10259,1487,197,2,2,694
Customer1026,1752,729,1,2,1007
Customer10260,2708,751,2,2,1228
Customer10261,2261,104,1,2,727
Customer10262,4512,1035,4,6,1935
Customer10263,1860,0,1,2,689
Customer10264,2977,416,1,11,749
Customer10265,1581,402,1,1,760
Customer10266,1772,655,1,1,774
Customer10267,43090,8886,3,30,1847
Customer10268,2497,569,1,3,748
